# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
# Cp has been shifted by -0.015 to better match experimental reference upstream
#VARIABLES = "x","cp"
#zone, t="CFL3D"
x,cp
 9.429341555E-01, -3.993988633E-01
 9.441146851E-01, -3.990412354E-01
 9.452956915E-01, -3.986836076E-01
 9.464771748E-01, -3.983498216E-01
 9.476590753E-01, -3.980160356E-01
 9.488413930E-01, -3.976703286E-01
 9.500241876E-01, -3.973246217E-01
 9.512073994E-01, -3.969789147E-01
 9.523909688E-01, -3.966332078E-01
 9.535750151E-01, -3.962755799E-01
 9.547594190E-01, -3.959179521E-01
 9.559441805E-01, -3.955841660E-01
 9.571293592E-01, -3.952623010E-01
 9.583149552E-01, -3.949165940E-01
 9.595009089E-01, -3.945828080E-01
 9.606871605E-01, -3.942490220E-01
 9.618738294E-01, -3.938556314E-01
 9.630608559E-01, -3.935099244E-01
 9.642482400E-01, -3.931642175E-01
 9.654359818E-01, -3.926754594E-01
 9.666240215E-01, -3.922343850E-01
 9.678124189E-01, -3.917813897E-01
 9.690011740E-01, -3.912091851E-01
 9.701902866E-01, -3.906250596E-01
 9.713796973E-01, -3.900409341E-01
 9.725694656E-01, -3.894091249E-01
 9.737595916E-01, -3.887415528E-01
 9.749500751E-01, -3.880859017E-01
 9.761409163E-01, -3.874183297E-01
 9.773320556E-01, -3.867030740E-01
 9.785236120E-01, -3.860116601E-01
 9.797154665E-01, -3.853202462E-01
 9.809077382E-01, -3.845811486E-01
 9.821003079E-01, -3.838420510E-01
 9.832932353E-01, -3.831148744E-01
 9.844865799E-01, -3.822923303E-01
 9.856802225E-01, -3.814697862E-01
 9.868742228E-01, -3.806591630E-01
 9.880685806E-01, -3.797174096E-01
 9.892632961E-01, -3.787160516E-01
 9.904583693E-01, -3.778100610E-01
 9.916538000E-01, -3.767371774E-01
 9.928495884E-01, -3.756285310E-01
 9.940457344E-01, -3.747344613E-01
 9.952422976E-01, -3.736973405E-01
 9.964392185E-01, -3.727555871E-01
 9.976365566E-01, -3.720164895E-01
 9.988342524E-01, -3.712297082E-01
 1.000032425E+00, -3.707171082E-01
 1.001231074E+00, -3.700852990E-01
 1.002430201E+00, -3.691077828E-01
 1.003630638E+00, -3.682494760E-01
 1.004832864E+00, -3.673554063E-01
 1.006037354E+00, -3.664613366E-01
 1.007244945E+00, -3.655315042E-01
 1.008455992E+00, -3.645778298E-01
 1.009671211E+00, -3.636122346E-01
 1.010891318E+00, -3.626108766E-01
 1.012116671E+00, -3.615975976E-01
 1.013347983E+00, -3.605723977E-01
 1.014585972E+00, -3.595114350E-01
 1.015830994E+00, -3.584504724E-01
 1.017084002E+00, -3.573537469E-01
 1.018345356E+00, -3.562451005E-01
 1.019615650E+00, -3.551245332E-01
 1.020895720E+00, -3.539801240E-01
 1.022186160E+00, -3.528118730E-01
 1.023487449E+00, -3.516197801E-01
 1.024800420E+00, -3.504157662E-01
 1.026125550E+00, -3.491759896E-01
 1.027463555E+00, -3.479242921E-01
 1.028815150E+00, -3.466487527E-01
 1.030180931E+00, -3.453493714E-01
 1.031561613E+00, -3.440261483E-01
 1.032957911E+00, -3.426790833E-01
 1.034370422E+00, -3.413081765E-01
 1.035799980E+00, -3.399015069E-01
 1.037247181E+00, -3.384709954E-01
 1.038712740E+00, -3.370166421E-01
 1.040197372E+00, -3.355265260E-01
 1.041701913E+00, -3.340125680E-01
 1.043226957E+00, -3.324628472E-01
 1.044773459E+00, -3.308773637E-01
 1.046342015E+00, -3.292680383E-01
 1.047933340E+00, -3.276229501E-01
 1.049548507E+00, -3.259420991E-01
 1.051187992E+00, -3.242254853E-01
 1.052852869E+00, -3.224731088E-01
 1.054543734E+00, -3.206730485E-01
 1.056261659E+00, -3.188491464E-01
 1.058007240E+00, -3.169775605E-01
 1.059781551E+00, -3.150702119E-01
 1.061585307E+00, -3.131271005E-01
 1.063419461E+00, -3.111363053E-01
 1.065285087E+00, -3.090978265E-01
 1.067182779E+00, -3.070235848E-01
 1.069113731E+00, -3.049016595E-01
 1.071078777E+00, -3.027320504E-01
 1.073078871E+00, -3.005147576E-01
 1.075115204E+00, -2.982497811E-01
 1.077188492E+00, -2.959371209E-01
 1.079299927E+00, -2.935767770E-01
 1.081450582E+00, -2.911687493E-01
 1.083641410E+00, -2.887011170E-01
 1.085873604E+00, -2.861858010E-01
 1.088148117E+00, -2.836108804E-01
 1.090466142E+00, -2.809882760E-01
 1.092828989E+00, -2.783060670E-01
